"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-06,435805,6954,,162,1,,14813,TATADigital
2023-12-06,435806,6954,,157,1,,14813,TATADigital
2023-12-06,435807,6954,,145,1,,14813,TATADigital
2023-12-06,435808,6954,,142,1,,14813,TATADigital
2023-12-06,435809,6954,,131,1,,14813,TATADigital
2023-12-06,435798,6954,,187,1,,14813,TATADigital
2023-12-06,435799,6954,,182,1,,14813,TATADigital
2023-12-06,435800,6954,,176,1,,14813,TATADigital
2023-12-06,435801,6954,,172,1,,14813,TATADigital
2023-12-06,435802,6954,,169,1,,14813,TATADigital
2023-12-06,435803,6954,,1405,1,,14813,TATADigital
2023-12-06,435792,6954,3207,3207,1,,14813,TATADigital
2023-12-06,435793,6954,,202,1,,14813,TATADigital
2023-12-06,435794,6954,,197,1,,14813,TATADigital
2023-12-06,435795,6954,,194,1,,14813,TATADigital
2023-12-06,435796,6954,,192,1,,14813,TATADigital
2023-12-06,435797,6954,,189,1,,14813,TATADigital
2023-12-06,435786,6954,,238,1,,14813,TATADigital
2023-12-06,435787,6954,,232,1,,14813,TATADigital
2023-12-06,435788,6954,,132,1,,14813,TATADigital
2023-12-06,435789,6954,,235,1,,14813,TATADigital
2023-12-06,435790,6954,17,17,1,,-3,TATADigital
2023-12-06,435791,6954,,213,1,,14813,TATADigital
2023-12-06,435780,6954,,141,1,,14813,TATADigital
2023-12-06,435781,6954,,137,1,,14813,TATADigital
2023-12-06,435782,6954,,133,1,,14813,TATADigital
2023-12-06,435783,6954,,119,1,,14813,TATADigital
2023-12-06,435784,6954,,246,1,,14813,TATADigital
2023-12-06,435785,6954,,244,1,,14813,TATADigital
2023-12-06,435774,6954,,162,1,,14813,TATADigital
2023-12-06,435775,6954,,162,1,,14813,TATADigital
2023-12-06,435776,6954,,159,1,,14813,TATADigital
2023-12-06,435777,6954,,156,1,,14813,TATADigital
2023-12-06,435778,6954,,151,1,,14813,TATADigital
2023-12-06,435779,6954,,147,1,,14813,TATADigital
2023-12-06,435768,6954,,174,1,,14813,TATADigital
2023-12-06,435769,6954,,173,1,,14813,TATADigital
2023-12-06,435770,6954,,171,1,,14813,TATADigital
2023-12-06,435771,6954,,171,1,,14813,TATADigital
2023-12-06,435772,6954,,168,1,,14813,TATADigital
2023-12-06,435773,6954,,164,1,,14813,TATADigital
2023-12-06,435762,6954,,185,1,,14813,TATADigital
2023-12-06,435763,6954,,183,1,,14813,TATADigital
